Name,User_id,Followers,Post,Hashtags,Posted_time,Favourites
Fortnite,425871040,7179588,"The ESL Katowice Royale starts now! Tune in to see our first competitive event of Season 8! 

💻: https://t.co/mBCc3SE1Y4""",[],Fri Mar 01 13:03:38 +0000 2019,4394
Fortnite,425871040,7179588,We are aware of an issue with the pickaxe doing inconsistent damage for some users. We are investigating.,[],Fri Mar 01 13:02:47 +0000 2019,15631
Fortnite,425871040,7179588,We are currently deploying a patch to fix some stability issues and an auto-run issue. No maintenance is needed and… https://t.co/qOYhE7sHZr,[],Fri Mar 01 12:21:38 +0000 2019,15543
Fortnite,425871040,7179588,"🐟 Fishy and fiendish.⚕️

The Fish Food Gear, Spyglass Emote and Grim Medicine Gear are available now! https://t.co/TA128Cfzq4",[],Fri Mar 01 00:00:00 +0000 2019,14411
Fortnite,425871040,7179588,Build your own monument with the new Jungle Temple Prefab in #FortniteCreative! ☀️ https://t.co/nxmdE68Bb4,FortniteCreative,Thu Feb 28 21:01:35 +0000 2019,10318
Fortnite,425871040,7179588,Launch into battle with the new Canons in Battle Royale! 💣 https://t.co/3zhnzBME4g,[],Thu Feb 28 19:00:19 +0000 2019,13188
Fortnite,425871040,7179588,The issue preventing 50 of each material to not drop on eliminations has been resolved.,[],Thu Feb 28 18:36:26 +0000 2019,12133
Fortnite,425871040,7179588,"Dangerous majesty. 🌋

A new Volcano has risen on the Battle Royale map! Drop to it and explore - just watch out for… https://t.co/gqtA8NBVHn",[],Thu Feb 28 16:59:27 +0000 2019,21522
Fortnite,425871040,7179588,Did you earn a Season 8 Battle Pass by completing Overtime Challenges? Claim it now! ⭐,[],Thu Feb 28 16:00:26 +0000 2019,29516
Fortnite,425871040,7179588,"Flex your fins. 🐠

The Fishstick Outfit returns with a new style! The Bootstraps Pickaxe, Coral Cruiser Glider and… https://t.co/JTutcCaIje",[],Thu Feb 28 15:00:35 +0000 2019,13983
Fortnite,425871040,7179588,We’re aware the “auto-run” feature is not functioning properly for some players. We’re working towards a fix and wi… https://t.co/DkfQAfwfTJ,[],Thu Feb 28 12:30:10 +0000 2019,15121
Fortnite,425871040,7179588,We’re aware of an issue in Creative causing Bass Synth notes to disappear from created Islands.  Please avoid loadi… https://t.co/gngreJrdOi,[],Thu Feb 28 12:19:11 +0000 2019,8455
Fortnite,425871040,7179588,We're aware of an issue with 50 of each material not dropping on eliminations. We're working on a fix now and will… https://t.co/MiLMyqjkUQ,[],Thu Feb 28 11:25:32 +0000 2019,18197
Fortnite,425871040,7179588,"Downtime has ended and the adventure awaits. Explore new points of interest, Pirate Cannons, and the Season 8 Battl… https://t.co/FGLmeM7S2k",[],Thu Feb 28 11:10:15 +0000 2019,29032
Fortnite,425871040,7179588,"Anchors aweigh! Downtime for Season 8 begins now. ⚓

Dive into the Patch Notes to learn the ropes of what’s on the… https://t.co/qcMTpwZhvG",[],Thu Feb 28 09:02:00 +0000 2019,74973
Fortnite,425871040,7179588,🏴‍☠️🐠🌊,[],Thu Feb 28 02:00:05 +0000 2019,91653
Fortnite,425871040,7179588,"Embrace adventure.

The Modern Mercenary Gear, Venture Gear, and Chomp Gear are available now! https://t.co/fVAV8zGSlf",[],Thu Feb 28 00:00:06 +0000 2019,11686
Fortnite,425871040,7179588,Questions? Ask away - the Fortnite Save the World AMA begins now! Drop into the thread and follow along with respon… https://t.co/KRG4RoKMBs,[],Wed Feb 27 21:04:03 +0000 2019,6176
Fortnite,425871040,7179588,Please note that the patch size will be larger than normal updates.,[],Wed Feb 27 20:04:34 +0000 2019,30856
Fortnite,425871040,7179588,"Ahoy, mateys! Season 8 approaches and X marks the spot!

Downtime begins tomorrow, February 28 at 4 AM ET (0900 UTC).",[],Wed Feb 27 20:01:19 +0000 2019,42948
Fortnite,425871040,7179588,"In our latest Save the World Dev Update, we talk Hero Loadout improvements! https://t.co/VucG136o0E https://t.co/b7CNyN23eW",[],Wed Feb 27 19:00:05 +0000 2019,7107
Fortnite,425871040,7179588,RT @ESL_Fortnite: 🌍 The #ESLKatowiceRoyale is going global this weekend! Subscribe to our Twitch channel and don't miss a second of the act…,ESLKatowiceRoyale,Wed Feb 27 18:06:30 +0000 2019,3564
Fortnite,425871040,7179588,Things get tiny in P_Recs' Compact Combat! 🐜 #FortniteCreative #SharetheLove https://t.co/b1Nvj8K7tJ,FortniteCreative,Wed Feb 27 17:00:34 +0000 2019,11581
Fortnite,425871040,7179588,"Explore the world
Challenge your fate
Unearth the secrets
Adventure awaits. 
Season 8 starts tomorrow! https://t.co/7RqNbhSeFG",[],Wed Feb 27 15:00:31 +0000 2019,58974
Fortnite,425871040,7179588,"Heroes must return. 💪 

The Modern Mercenary Gear and Venture Gear are back in the Item Shop! https://t.co/36ZutesNZx",[],Wed Feb 27 00:15:03 +0000 2019,13084
Fortnite,425871040,7179588,"Put some pep in your step. 💃

The new Jamboree Emote is in the Item Shop! https://t.co/G963any5LL",[],Wed Feb 27 00:00:00 +0000 2019,18280
Fortnite,425871040,7179588,Take on challenges and escape the storm that's trapped you in Escape Maze 2: Snowed In by Pickles! 🌨️… https://t.co/2C76dBklFx,[],Tue Feb 26 21:00:15 +0000 2019,9979
Fortnite,425871040,7179588,Hero System changes are on the horizon in Save the World! Check out our blog for the details:… https://t.co/5UAHG5DrOm,[],Tue Feb 26 19:05:06 +0000 2019,11106
Fortnite,425871040,7179588,"RT @InTheLittleWood: NEW MUSIC VIDEO!

@FortniteGame Season 7 recap rap covering everything from the Ice King event to The Block, @marshmel…",[],Tue Feb 26 16:00:05 +0000 2019,4890
Fortnite,425871040,7179588,"Awaken beasts
Of fire and ash
Battle it out 
And loot the stash. 
2 days to Season 8. https://t.co/rdMrhYbZ1S",[],Tue Feb 26 15:00:02 +0000 2019,61421
Fortnite,425871040,7179588,"Time is a circle. 🔁

The Ouroboros Gear, Fate Outfit, Fated Frame Pickaxe and Split Wing Glider are in the Item Sho… https://t.co/Uj0e5i1mm7",[],Tue Feb 26 00:00:10 +0000 2019,13223
Fortnite,425871040,7179588,We've just released a hotfix to resolve an issue that was causing Clingers to do more environmental damage than intended.,[],Mon Feb 25 22:44:36 +0000 2019,15098
Fortnite,425871040,7179588,Grab your space suits and gather all ten coins in this sniper-only free for all 👩‍🚀 Launch into dfault_skin's Inter… https://t.co/KDc0isjqOd,[],Mon Feb 25 21:00:11 +0000 2019,13866
